Lower layer Super Output Areas Code,Lower layer Super Output Areas,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E01000172,Barnet 003D,3,Household is deprived in two dimensions,72
E01000172,Barnet 003D,4,Household is deprived in three dimensions,7
E01000172,Barnet 003D,5,Household is deprived in four dimensions,1
E01000173,Barnet 006C,-8,Does not apply,0
E01000173,Barnet 006C,1,Household is not deprived in any dimension,351
E01000173,Barnet 006C,2,Household is deprived in one dimension,183
E01000173,Barnet 006C,3,Household is deprived in two dimensions,61
E01000173,Barnet 006C,4,Household is deprived in three dimensions,12
E01000173,Barnet 006C,5,Household is deprived in four dimensions,1
E01000174,Barnet 006D,-8,Does not apply,0
E01000174,Barnet 006D,1,Household is not deprived in any dimension,338
E01000174,Barnet 006D,2,Household is deprived in one dimension,263
E01000174,Barnet 006D,3,Household is deprived in two dimensions,121
E01000174,Barnet 006D,4,Household is deprived in three dimensions,33
E01000174,Barnet 006D,5,Household is deprived in four dimensions,6
E01000175,Barnet 006E,-8,Does not apply,0
E01000175,Barnet 006E,1,Household is not deprived in any dimension,388
E01000175,Barnet 006E,2,Household is deprived in one dimension,180
E01000175,Barnet 006E,3,Household is deprived in two dimensions,61
E01000175,Barnet 006E,4,Household is deprived in three dimensions,11
E01000175,Barnet 006E,5,Household is deprived in four dimensions,0
E01000176,Barnet 027A,-8,Does not apply,0
E01000176,Barnet 027A,1,Household is not deprived in any dimension,243
E01000176,Barnet 027A,2,Household is deprived in one dimension,232
E01000176,Barnet 027A,3,Household is deprived in two dimensions,176
E01000176,Barnet 027A,4,Household is deprived in three dimensions,64
E01000176,Barnet 027A,5,Household is deprived in four dimensions,4
E01000177,Barnet 029A,-8,Does not apply,0
E01000177,Barnet 029A,1,Household is not deprived in any dimension,405
E01000177,Barnet 029A,2,Household is deprived in one dimension,230
E01000177,Barnet 029A,3,Household is deprived in two dimensions,48
E01000177,Barnet 029A,4,Household is deprived in three dimensions,6
E01000177,Barnet 029A,5,Household is deprived in four dimensions,0
E01000178,Barnet 027B,-8,Does not apply,0
E01000178,Barnet 027B,1,Household is not deprived in any dimension,356
E01000178,Barnet 027B,2,Household is deprived in one dimension,233
E01000178,Barnet 027B,3,Household is deprived in two dimensions,72
E01000178,Barnet 027B,4,Household is deprived in three dimensions,17
E01000178,Barnet 027B,5,Household is deprived in four dimensions,0
E01000179,Barnet 029B,-8,Does not apply,0
E01000179,Barnet 029B,1,Household is not deprived in any dimension,438
E01000179,Barnet 029B,2,Household is deprived in one dimension,256
E01000179,Barnet 029B,3,Household is deprived in two dimensions,69
E01000179,Barnet 029B,4,Household is deprived in three dimensions,8
E01000179,Barnet 029B,5,Household is deprived in four dimensions,0
E01000180,Barnet 029C,-8,Does not apply,0
E01000180,Barnet 029C,1,Household is not deprived in any dimension,319
E01000180,Barnet 029C,2,Household is deprived in one dimension,236
E01000180,Barnet 029C,3,Household is deprived in two dimensions,91
E01000180,Barnet 029C,4,Household is deprived in three dimensions,24
E01000180,Barnet 029C,5,Household is deprived in four dimensions,0
E01000181,Barnet 029D,-8,Does not apply,0
E01000181,Barnet 029D,1,Household is not deprived in any dimension,410
E01000181,Barnet 029D,2,Household is deprived in one dimension,222
E01000181,Barnet 029D,3,Household is deprived in two dimensions,47
E01000181,Barnet 029D,4,Household is deprived in three dimensions,6
E01000181,Barnet 029D,5,Household is deprived in four dimensions,1
E01000182,Barnet 029E,-8,Does not apply,0
E01000182,Barnet 029E,1,Household is not deprived in any dimension,413
E01000182,Barnet 029E,2,Household is deprived in one dimension,240
E01000182,Barnet 029E,3,Household is deprived in two dimensions,62
E01000182,Barnet 029E,4,Household is deprived in three dimensions,15
E01000182,Barnet 029E,5,Household is deprived in four dimensions,2
E01000183,Barnet 033A,-8,Does not apply,0
E01000183,Barnet 033A,1,Household is not deprived in any dimension,321
E01000183,Barnet 033A,2,Household is deprived in one dimension,187
E01000183,Barnet 033A,3,Household is deprived in two dimensions,81
E01000183,Barnet 033A,4,Household is deprived in three dimensions,14
E01000183,Barnet 033A,5,Household is deprived in four dimensions,0
E01000184,Barnet 027C,-8,Does not apply,0
E01000184,Barnet 027C,1,Household is not deprived in any dimension,266
E01000184,Barnet 027C,2,Household is deprived in one dimension,276
E01000184,Barnet 027C,3,Household is deprived in two dimensions,120
E01000184,Barnet 027C,4,Household is deprived in three dimensions,45
E01000184,Barnet 027C,5,Household is deprived in four dimensions,3
E01000185,Barnet 029F,-8,Does not apply,0
E01000185,Barnet 029F,1,Household is not deprived in any dimension,214
E01000185,Barnet 029F,2,Household is deprived in one dimension,226
E01000185,Barnet 029F,3,Household is deprived in two dimensions,141
E01000185,Barnet 029F,4,Household is deprived in three dimensions,58
E01000185,Barnet 029F,5,Household is deprived in four dimensions,6
E01000186,Barnet 014A,-8,Does not apply,0
E01000186,Barnet 014A,1,Household is not deprived in any dimension,295
E01000186,Barnet 014A,2,Household is deprived in one dimension,178
E01000186,Barnet 014A,3,Household is deprived in two dimensions,33
E01000186,Barnet 014A,4,Household is deprived in three dimensions,3
E01000186,Barnet 014A,5,Household is deprived in four dimensions,0
E01000187,Barnet 014B,-8,Does not apply,0
E01000187,Barnet 014B,1,Household is not deprived in any dimension,295
E01000187,Barnet 014B,2,Household is deprived in one dimension,198
E01000187,Barnet 014B,3,Household is deprived in two dimensions,81
E01000187,Barnet 014B,4,Household is deprived in three dimensions,18
E01000187,Barnet 014B,5,Household is deprived in four dimensions,2
E01000188,Barnet 014C,-8,Does not apply,0
E01000188,Barnet 014C,1,Household is not deprived in any dimension,281
E01000188,Barnet 014C,2,Household is deprived in one dimension,165
E01000188,Barnet 014C,3,Household is deprived in two dimensions,57
E01000188,Barnet 014C,4,Household is deprived in three dimensions,5
E01000188,Barnet 014C,5,Household is deprived in four dimensions,1
E01000189,Barnet 014D,-8,Does not apply,0
E01000189,Barnet 014D,1,Household is not deprived in any dimension,507
E01000189,Barnet 014D,2,Household is deprived in one dimension,295
E01000189,Barnet 014D,3,Household is deprived in two dimensions,142
E01000189,Barnet 014D,4,Household is deprived in three dimensions,37
E01000189,Barnet 014D,5,Household is deprived in four dimensions,1
E01000190,Barnet 014E,-8,Does not apply,0
E01000190,Barnet 014E,1,Household is not deprived in any dimension,304
E01000190,Barnet 014E,2,Household is deprived in one dimension,177
E01000190,Barnet 014E,3,Household is deprived in two dimensions,77
E01000190,Barnet 014E,4,Household is deprived in three dimensions,12
E01000190,Barnet 014E,5,Household is deprived in four dimensions,1
E01000191,Barnet 014F,-8,Does not apply,0
