"Address"	Latitude	Longitude	Easting	Northing
"NW4 3AN (2)"	51.584097	-0.228053	522865	188736
"NW4 4RT"	51.586644	-0.23357	522476	189010
"NW11 9SY (2)"	51.575206	-0.210797	524085	187776
"N12 0PT"	51.609535	-0.169987	526817	191664
"EN4 8TF"	51.643002	-0.164986	527070	195394
"NW4 3UH"	51.574934	-0.230246	522738	187713
"NW11 9SL"	51.574851	-0.205846	524429	187745
"NW11 9LD"	51.585942	-0.210172	524099	188971
"NW2 2NR"	51.562433	-0.203734	524609	186368
"NW2 1HR (2)"	51.560716	-0.207687	524340	186170
"NW2 1DA (3)"	51.56822	-0.221153	523386	186982
"N20 9HJ"	51.631918	-0.175043	526405	194144
"N3 1ER"	51.607545	-0.197694	524904	191395
"NW4 3PS"	51.576956	-0.233945	522476	187932
"NW11 9DG"	51.576795	-0.208281	524255	187957
"NW4 1DL"	51.589371	-0.219767	523425	189336
"NW11 9JX (2)"	51.58702	-0.207705	524267	189095
"NW4 2TE"	51.583217	-0.225507	523044	188642
"NW11 8AU"	51.576058	-0.201253	524744	187887
"N12 9PT"	51.612813	-0.175502	526426	192019
"NW11 0JN"	51.580439	-0.206045	524400	188366
"NW7 1LB"	51.605505	-0.20754	524228	191151
"NW9 6AB (2)"	51.579915	-0.241177	521967	188249
"NW11 7NN"	51.57589	-0.196165	525097	187877
"NW11 8LX (2)"	51.570421	-0.195699	525144	187270
"NW7 4BY"	51.61646	-0.236764	522175	192320
"N12 9TB (2)"	51.616648	-0.174976	526452	192446
"NW11 8DL"	51.564221	-0.197002	525071	186578
"NW4 4EP"	51.58838	-0.223227	523188	189220
"NW11 8JP"	51.573728	-0.198498	524941	187633
"NW11 0PB"	51.576579	-0.197938	524972	187951
"EN4 9PE"	51.650325	-0.167708	526861	196204
"N3 1PT"	51.611074	-0.190376	525401	191800
"N3 1EG"	51.604976	-0.197839	524901	191109
"NW2 1RE (2)"	51.560297	-0.211638	524067	186117
"HA8 8HJ"	51.621543	-0.281418	519070	192812
"NW2 3EE"	51.555705	-0.21365	523940	185603
"NW4 4DJ (2)"	51.588624	-0.221757	523289	189250
"NW7 3JW"	51.620569	-0.254398	520943	192748
"N12 0BX"	51.611779	-0.177233	526309	191901
"NW9 5JU (2)"	51.59805	-0.252446	521138	190247
"N12 9EN"	51.61258	-0.174934	526466	191994
"NW11 8EL"	51.57225	-0.198296	524959	187469
"NW2 2LD"	51.566651	-0.202375	524692	186839
"N12 9HR"	51.61838	-0.17183	526665	192644
"N12 0HJ (2)"	51.607552	-0.181566	526021	191423
"NW11 0DT"	51.585422	-0.203207	524583	188925
"NW2 1HD"	51.557567	-0.213451	523949	185810
"NW4 4LD"	51.589157	-0.225868	523003	189302
"NW11 9BP (2)"	51.57471	-0.204448	524526	187732
"N3 3RY"	51.596024	-0.199897	524783	190110
"NW11 0RY"	51.576881	-0.199412	524869	187982
"NW4 2JY"	51.588298	-0.20921	524159	189235
"N12 0LT"	51.610225	-0.158318	527623	191761
"NW2 3LL"	51.555923	-0.212405	524026	185629
"N12 8DT"	51.612359	-0.18016	526105	191960
"NW4 3NB"	51.578938	-0.224462	523128	188168
"NW4 2PG"	51.582158	-0.218213	523552	188537
"N11 3DH"	51.6113	-0.15631	527759	191884
"HA8 9AH"	51.609726	-0.271977	519755	191513
"NW11 0AJ (2)"	51.587882	-0.200049	524795	189204
"NW4 4SH (4)"	51.589324	-0.236598	522259	189303
"N3 2SG"	51.598623	-0.188044	525597	190419
"NW4 2RN (2)"	51.588969	-0.217632	523574	189295
"NW11 0AJ"	51.587882	-0.200049	524795	189204
"NW11 9AN"	51.577547	-0.203936	524554	188048
"NW11 8EE (4)"	51.571988	-0.197431	525020	187441
"NW11 7TH (2)"	51.581238	-0.198335	524932	188468
"NW7 3LH"	51.61464	-0.246744	521489	192101
"N3 2LN"	51.600157	-0.194755	525128	190578
"NW4 4LX"	51.593889	-0.231628	522591	189819
"NW4 4SL"	51.591807	-0.235448	522332	189581
"N3 2QR"	51.597058	-0.18588	525751	190249
"NW4 4DJ"	51.588624	-0.221757	523289	189250
"NW11 6NJ"	51.582499	-0.181206	526115	188638
"NW11 9AB"	51.576543	-0.202629	524647	187939
"HA8 0DZ"	51.603182	-0.256326	520856	190811
"N3 2HH (3)"	51.599502	-0.188093	525591	190517
"NW11 9PP"	51.578756	-0.208561	524230	188175
"NW2 3AE"	51.556918	-0.212968	523984	185739
"NW4 4SJ"	51.58945	-0.23603	522298	189318
"N20 0LH"	51.627906	-0.174351	526464	193699
"NW11 8QG"	51.573255	-0.201042	524766	187576
"NW2 2LX (5)"	51.56275	-0.204851	524531	186401
"NW11 9SY"	51.575206	-0.210797	524085	187776
"EN5 1BP"	51.641188	-0.17152	526623	195181
"HA8 7AB"	51.611043	-0.278368	519309	191649
"N12 9TB"	51.616648	-0.174976	526452	192446
"NW4 3UY (3)"	51.582408	-0.229089	522798	188546
"N3 1EU"	51.607959	-0.197706	524902	191441
"N12 0NS"	51.611574	-0.173678	526556	191884
"N2 8AG (2)"	51.590985	-0.16525	527197	189609
"NW11 9BP"	51.57471	-0.204448	524526	187732
"N3 2AS"	51.602888	-0.177373	526324	190912
"NW9 7EJ"	51.577943	-0.238976	522125	188033
"NW2 1HJ"	51.558351	-0.211805	524061	185900
"NW4 2AD (6)"	51.58632	-0.219035	523484	188998
"NW4 4TG (2)"	51.595673	-0.234244	522405	190013
"NW11 8EE"	51.571988	-0.197431	525020	187441
"N3 3BD (14)"	51.591051	-0.192056	525340	189570
"NW2 1SJ"	51.564187	-0.20768	524331	186556
"NW2 1PU"	51.563502	-0.21407	523890	186469
"N12 7NN"	51.613587	-0.17936	526157	192098
"EN4 8RW"	51.649909	-0.174248	526410	196146
"NW11 0JL"	51.580409	-0.20352	524575	188367
"N3 3BD"	51.591051	-0.192056	525340	189570
"NW2 2AD"	51.565238	-0.1994	524902	186687
"N12 7EA (4)"	51.62237	-0.183848	525822	193067
"N11 3EX"	51.615449	-0.150263	528166	192356
"NW9 7AA"	51.576007	-0.237608	522225	187820
"N3 3BD"	51.591051	-0.192056	525340	189570
"NW4 3DE"	51.581422	-0.228118	522868	188438
"NW11 8TN"	51.563497	-0.213344	523940	186470
