Lower layer Super Output Areas Code,Lower layer Super Output Areas,Ethnic group (20 categories) Code,Ethnic group (20 categories),Observation
E01000131,Barnet 024E,5,"Asian, Asian British or Asian Welsh: Other Asian",234
E01000131,Barnet 024E,6,"Black, Black British, Black Welsh, Caribbean or African: African",161
E01000131,Barnet 024E,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",23
E01000131,Barnet 024E,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",28
E01000131,Barnet 024E,9,Mixed or Multiple ethnic groups: White and Asian,33
E01000131,Barnet 024E,10,Mixed or Multiple ethnic groups: White and Black African,19
E01000131,Barnet 024E,11,Mixed or Multiple ethnic groups: White and Black Caribbean,18
E01000131,Barnet 024E,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,29
E01000131,Barnet 024E,13,"White: English, Welsh, Scottish, Northern Irish or British",367
E01000131,Barnet 024E,14,White: Irish,46
E01000131,Barnet 024E,15,White: Gypsy or Irish Traveller,1
E01000131,Barnet 024E,16,White: Roma,10
E01000131,Barnet 024E,17,White: Other White,410
E01000131,Barnet 024E,18,Other ethnic group: Arab,44
E01000131,Barnet 024E,19,Other ethnic group: Any other ethnic group,150
E01000132,Barnet 021B,-8,Does not apply,0
E01000132,Barnet 021B,1,"Asian, Asian British or Asian Welsh: Bangladeshi",25
E01000132,Barnet 021B,2,"Asian, Asian British or Asian Welsh: Chinese",19
E01000132,Barnet 021B,3,"Asian, Asian British or Asian Welsh: Indian",104
E01000132,Barnet 021B,4,"Asian, Asian British or Asian Welsh: Pakistani",38
E01000132,Barnet 021B,5,"Asian, Asian British or Asian Welsh: Other Asian",201
E01000132,Barnet 021B,6,"Black, Black British, Black Welsh, Caribbean or African: African",188
E01000132,Barnet 021B,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",37
E01000132,Barnet 021B,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",23
E01000132,Barnet 021B,9,Mixed or Multiple ethnic groups: White and Asian,17
E01000132,Barnet 021B,10,Mixed or Multiple ethnic groups: White and Black African,27
E01000132,Barnet 021B,11,Mixed or Multiple ethnic groups: White and Black Caribbean,14
E01000132,Barnet 021B,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,28
E01000132,Barnet 021B,13,"White: English, Welsh, Scottish, Northern Irish or British",364
E01000132,Barnet 021B,14,White: Irish,34
E01000132,Barnet 021B,15,White: Gypsy or Irish Traveller,0
E01000132,Barnet 021B,16,White: Roma,10
E01000132,Barnet 021B,17,White: Other White,275
E01000132,Barnet 021B,18,Other ethnic group: Arab,65
E01000132,Barnet 021B,19,Other ethnic group: Any other ethnic group,149
E01000133,Barnet 021C,-8,Does not apply,0
E01000133,Barnet 021C,1,"Asian, Asian British or Asian Welsh: Bangladeshi",24
E01000133,Barnet 021C,2,"Asian, Asian British or Asian Welsh: Chinese",38
E01000133,Barnet 021C,3,"Asian, Asian British or Asian Welsh: Indian",114
E01000133,Barnet 021C,4,"Asian, Asian British or Asian Welsh: Pakistani",48
E01000133,Barnet 021C,5,"Asian, Asian British or Asian Welsh: Other Asian",271
E01000133,Barnet 021C,6,"Black, Black British, Black Welsh, Caribbean or African: African",167
E01000133,Barnet 021C,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",38
E01000133,Barnet 021C,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",26
E01000133,Barnet 021C,9,Mixed or Multiple ethnic groups: White and Asian,14
E01000133,Barnet 021C,10,Mixed or Multiple ethnic groups: White and Black African,19
E01000133,Barnet 021C,11,Mixed or Multiple ethnic groups: White and Black Caribbean,19
E01000133,Barnet 021C,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,16
E01000133,Barnet 021C,13,"White: English, Welsh, Scottish, Northern Irish or British",475
E01000133,Barnet 021C,14,White: Irish,33
E01000133,Barnet 021C,15,White: Gypsy or Irish Traveller,1
E01000133,Barnet 021C,16,White: Roma,0
E01000133,Barnet 021C,17,White: Other White,191
E01000133,Barnet 021C,18,Other ethnic group: Arab,36
E01000133,Barnet 021C,19,Other ethnic group: Any other ethnic group,113
E01000134,Barnet 024F,-8,Does not apply,0
E01000134,Barnet 024F,1,"Asian, Asian British or Asian Welsh: Bangladeshi",0
E01000134,Barnet 024F,2,"Asian, Asian British or Asian Welsh: Chinese",93
E01000134,Barnet 024F,3,"Asian, Asian British or Asian Welsh: Indian",144
E01000134,Barnet 024F,4,"Asian, Asian British or Asian Welsh: Pakistani",15
E01000134,Barnet 024F,5,"Asian, Asian British or Asian Welsh: Other Asian",184
E01000134,Barnet 024F,6,"Black, Black British, Black Welsh, Caribbean or African: African",272
E01000134,Barnet 024F,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",25
E01000134,Barnet 024F,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",23
E01000134,Barnet 024F,9,Mixed or Multiple ethnic groups: White and Asian,26
